,연도,월,순위,곡명,가수명
0,2020, 12,1,"
VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
","미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)"
1,2020, 12,2,"
Dynamite
",방탄소년단방탄소년단
2,2020, 12,3,"
잠이 오질 않네요
",장범준장범준
3,2020, 12,4,"
밤하늘의 별을(2020)
",경서경서
4,2020, 12,5,"
힘든 건 사랑이 아니다
",임창정임창정
5,2020, 12,6,"
내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))
",릴보이 (lIlBOI)릴보이 (lIlBOI)
6,2020, 12,7,"
Lovesick Girls
",BLACKPINKBLACKPINK
7,2020, 12,8,"
취기를 빌려 (취향저격 그녀 X 산들)
",산들산들
8,2020, 12,9,"
Life Goes On
",방탄소년단방탄소년단
9,2020, 12,10,"
All I Want for Christmas Is You
",Mariah CareyMariah Carey
10,2020, 12,11,"
Freak (Prod. Slom)
","릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)"
11,2020, 12,12,"
오래된 노래
",스탠딩 에그스탠딩 에그
12,2020, 12,13,"
Savage Love (Laxed - Siren Beat) (BTS Remix)
","Jawsh 685, Jason Derulo, 방탄소년단Jawsh 685, Jason Derulo, 방탄소년단"
13,2020, 12,14,"
Santa Tell Me
",Ariana GrandeAriana Grande
14,2020, 12,15,"
Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)
",미란이 (Mirani)미란이 (Mirani)
15,2020, 12,16,"
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
",규현 (KYUHYUN)규현 (KYUHYUN)
16,2020, 12,17,"
When We Disco (Duet with 선미)
",박진영박진영
17,2020, 12,18,"
DON'T TOUCH ME
",환불원정대환불원정대
18,2020, 12,19,"
어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
",AKMU (악뮤)AKMU (악뮤)
19,2020, 12,20,"
딩가딩가 (Dingga)
",마마무 (Mamamoo)마마무 (Mamamoo)
20,2020, 12,21,"
나랑 같이 걸을래 (바른연애 길잡이 X 적재)
",적재적재
21,2020, 12,22,"
에잇(Prod.&Feat. SUGA of BTS)
",아이유아이유
22,2020, 12,23,"
뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom)
",Khundi PandaKhundi Panda
23,2020, 12,24,"
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
",장범준장범준
24,2020, 12,25,"
어떻게 지내 (Prod. By VAN.C)
",오반 (OVAN)오반 (OVAN)
25,2020, 12,26,"
늦은 밤 너의 집 앞 골목길에서
",노을노을
26,2020, 12,27,"
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)
",아이유아이유
27,2020, 12,28,"
How You Like That
",BLACKPINKBLACKPINK
28,2020, 12,29,"
Snowman
",SiaSia
29,2020, 12,30,"
뻔한남자
",이승기이승기
30,2020, 12,31,"
혼술하고 싶은 밤
",벤벤
31,2020, 12,32,"
I CAN’T STOP ME
",TWICE (트와이스)TWICE (트와이스)
32,2020, 12,33,"
아로하
",조정석조정석
33,2020, 12,34,"
Dolphin
",오마이걸 (OH MY GIRL)오마이걸 (OH MY GIRL)
34,2020, 12,35,"
METEOR
",창모 (CHANGMO)창모 (CHANGMO)
35,2020, 12,36,"
모든 날, 모든 순간 (Every day, Every Moment)
",폴킴폴킴
36,2020, 12,37,"
Blueming
",아이유아이유
37,2020, 12,38,"
가을밤에 든 생각
",잔나비잔나비
38,2020, 12,39,"
마리아 (Maria)
",화사 (Hwa Sa)화사 (Hwa Sa)
39,2020, 12,40,"
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
",방탄소년단방탄소년단
40,2020, 12,41,"
거짓말이라도 해서 널 보고싶어
",백지영백지영
41,2020, 12,42,"
눈누난나 (NUNU NANA)
",제시 (Jessi)제시 (Jessi)
42,2020, 12,43,"
사실 나는 (Feat.전건호)
",경서예지경서예지
43,2020, 12,44,"
서면역에서
",순순희순순희
44,2020, 12,45,"
원해 (Feat. 팔로알토) (Prod. 코드 쿤스트)
","스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)"
45,2020, 12,46,"
Memories
",Maroon 5Maroon 5
46,2020, 12,47,"
홀로
",이하이이하이
47,2020, 12,48,"
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
",마크툽 (MAKTUB)마크툽 (MAKTUB)
48,2020, 12,49,"
적외선 카메라
",원슈타인원슈타인
49,2020, 12,50,"
사랑은 지날수록 더욱 선명하게 남아
",전상근전상근
50,2008, 12,1,"
총맞은것처럼
",백지영백지영
51,2008, 12,2,"
붉은 노을
",BIGBANGBIGBANG
52,2008, 12,3,"
My Style (Hidden Track)
",브라운아이드걸스브라운아이드걸스
53,2008, 12,4,"
어제보다 오늘 더
",김종국김종국
54,2008, 12,5,"
Nobody
",원더걸스원더걸스
55,2008, 12,6,"
Rainism (Clean Ver.)
",비비
56,2008, 12,7,"
러브119 (Feat. MC몽)
",케이윌케이윌
57,2008, 12,8,"
Love Story
",비비
58,2008, 12,9,"
이런 여자
",이수영이수영
59,2008, 12,10,"
미쳤어 (Feat. 에릭)
",손담비손담비
60,2008, 12,11,"
어쩌다
",브라운아이드걸스브라운아이드걸스
61,2008, 12,12,"
U R Man
",SS501SS501
62,2008, 12,13,"
별이 지다..
",휘성 (Realslow)휘성 (Realslow)
63,2008, 12,14,"
내사람
",환희환희
64,2008, 12,15,"
매력쟁이 (Feat. MC 몽)
",린린
65,2008, 12,16,"
Dangerous
",은지원은지원
66,2008, 12,17,"
It's Okay (Feat. 화요비) ('우리 결혼했어요' 화요비 테마곡)
",언터쳐블언터쳐블
67,2008, 12,18,"
기적 같은 이야기
",테이테이
68,2008, 12,19,"
붙잡아도 (Feat.백지영)
",나몰라패밀리 (Namolla Family)나몰라패밀리 (Namolla Family)
69,2008, 12,20,"
들리나요...
",태연 (TAEYEON)태연 (TAEYEON)
70,2008, 12,21,"
하루 하루
",BIGBANGBIGBANG
71,2008, 12,22,"
주문-MIROTIC (Clean Ver.)
",동방신기 (TVXQ!)동방신기 (TVXQ!)
72,2008, 12,23,"
1분 1초 (Feat. 타루)
",에픽하이 (EPIK HIGH)에픽하이 (EPIK HIGH)
73,2008, 12,24,"
Pretty Girl
",카라카라
74,2008, 12,25,"
Anybody (Feat. Dynamic Duo, SAN E, J.Y. Park)
",원더걸스원더걸스
75,2008, 12,26,"
병원에 가다 (이별..) (Song By 민경)
",다비치다비치
76,2008, 12,27,"
Happy Together (해피투게더)
","박지헌, 강민경 (다비치)박지헌, 강민경 (다비치)"
77,2008, 12,28,"
패밀리 (Feat. 손담비)
",마이티 마우스마이티 마우스
78,2008, 12,29,"
Wonderful
",BIGBANGBIGBANG
79,2008, 12,30,"
사랑이 그렇게 쉬워 (Feat. 태인)
",나몰라패밀리 (Namolla Family)나몰라패밀리 (Namolla Family)
80,2008, 12,31,"
You
",브라운아이드걸스브라운아이드걸스
81,2008, 12,32,"
천국
",BIGBANGBIGBANG
82,2008, 12,33,"
아.미.고 (Amigo)
",SHINee (샤이니)SHINee (샤이니)
83,2008, 12,34,"
Eat You Up
",보아 (BoA)보아 (BoA)
84,2008, 12,35,"
One Day
",엠투엠 (M To M)엠투엠 (M To M)
85,2008, 12,36,"
비와 당신 (영화 '라디오스타' 삽입곡)
",럼블피쉬럼블피쉬
86,2008, 12,37,"
바람피지마 (Feat. 남규리 Of 씨야)
",미스에스미스에스
87,2008, 12,38,"
눈물은 모르게
",엠씨더맥스 (M.C the MAX)엠씨더맥스 (M.C the MAX)
88,2008, 12,39,"
Gone (Feat. 주희 Of 에이트)
",다이나믹 듀오다이나믹 듀오
89,2008, 12,40,"
Hot Girl
",씨야씨야
90,2008, 12,41,"
Fly Boy
",크라운제이 (CROWN J)크라운제이 (CROWN J)
91,2008, 12,42,"
No Break
","박정현, 크라운제이 (CROWN J)박정현, 크라운제이 (CROWN J)"
92,2008, 12,43,"
사랑해.. 그래서 미안해 (Feat. 수호)
",김동희김동희
93,2008, 12,44,"
슬픔활용법
",김범수김범수
94,2008, 12,45,"
이노래
",2am2am
95,2008, 12,46,"
10점 만점에 10점
",2PM2PM
96,2008, 12,47,"
Never Say Goodbye
",먼데이 키즈 (Monday Kiz)먼데이 키즈 (Monday Kiz)
97,2008, 12,48,"
사랑해 미안해
",지아지아
98,2008, 12,49,"
널 사랑하지 않았어...
",타이푼타이푼
99,2008, 12,50,"
착한 사랑
",가비엔제이가비엔제이
